id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,target,Inflight_entertainment_wifi,Online_support_ease_booking,Onboard_service_legroom
26,Female,Loyal Customer,10,Personal Travel,Eco,7.379008127628304,5,4,5,4,4,4,5,5,5,4,4,0.0,0.0,1,20,16,20
27,Male,Loyal Customer,35,Business travel,Eco,7.748460023899697,4,4,4,4,4,3,5,1,3,5,4,0.0,0.0,1,16,16,15
28,Female,disloyal Customer,36,Business travel,Eco,7.4342573821331355,3,4,3,4,4,1,4,4,3,3,4,1.791759469228055,0.0,0,12,16,4
29,Female,Loyal Customer,11,Personal Travel,Eco,7.959275960116396,5,4,5,4,4,3,5,1,1,5,4,0.0,0.0,1,20,16,15
30,Male,Loyal Customer,56,Business travel,Business,8.275121630216509,5,5,4,5,4,4,4,4,5,4,4,3.784189633918261,2.995732273553991,1,20,20,16
31,Male,Loyal Customer,58,Business travel,Eco,7.270312886079025,2,2,2,2,2,4,2,3,1,4,2,0.0,0.0,0,4,4,8
32,Male,Loyal Customer,25,Business travel,Eco Plus,7.610357618312838,5,5,4,5,5,3,2,2,5,4,5,0.0,0.0,1,20,25,6
33,Male,Loyal Customer,66,Personal Travel,Eco,8.172164452111904,3,3,2,3,3,3,5,3,1,3,3,0.0,0.0,0,6,9,15
34,Male,Loyal Customer,22,Business travel,Business,7.3031700512368,5,5,5,5,5,4,4,2,2,1,5,0.0,0.0,1,25,25,16
35,Female,disloyal Customer,50,Business travel,Business,7.85243908535751,4,1,4,1,1,4,4,4,4,4,1,0.0,0.0,1,4,1,16
36,Female,Loyal Customer,54,Business travel,Business,8.212025804623437,2,2,4,3,1,1,1,2,3,1,2,1.9459101490553132,0.0,0,8,3,1
37,Female,disloyal Customer,26,Business travel,Eco,7.061334366910438,5,2,4,2,2,2,1,2,4,5,2,0.0,0.0,1,8,4,2
38,Male,Loyal Customer,63,Business travel,Eco,6.9874902470009905,3,3,3,3,3,1,2,1,3,2,3,0.0,1.6094379124341003,1,9,9,2
39,Male,Loyal Customer,42,Business travel,Business,8.252185436003328,2,3,4,4,2,2,2,2,2,2,3,3.044522437723423,2.8903717578961645,0,12,8,4
40,Male,Loyal Customer,39,Business travel,Eco,7.553286605600419,4,4,4,4,4,2,4,4,4,4,4,2.302585092994046,1.0986122886681098,0,16,16,8
41,Male,Loyal Customer,9,Personal Travel,Eco,7.973844375944687,2,2,1,2,5,3,5,5,2,3,2,5.204006687076795,5.14166355650266,0,2,10,15
42,Male,Loyal Customer,49,Business travel,Business,7.845416036592485,3,4,3,5,5,5,5,5,4,5,1,0.0,0.0,1,12,25,25
43,Female,Loyal Customer,55,Business travel,Business,6.620073206530356,1,3,4,5,5,5,5,5,4,5,3,0.0,0.0,1,12,25,25
44,Male,Loyal Customer,52,Personal Travel,Eco,7.347943823148687,1,2,1,2,2,5,3,4,5,5,2,0.0,0.0,0,2,4,15
45,Male,Loyal Customer,34,Business travel,Business,7.837554360881084,2,2,4,4,2,2,2,2,4,2,2,0.0,0.0,0,8,8,4
46,Male,Loyal Customer,20,Personal Travel,Eco,7.340835554123275,1,3,1,3,3,3,3,4,5,5,3,0.0,0.0,0,3,9,9
47,Male,Loyal Customer,59,Business travel,Business,7.38770923908104,2,4,4,3,2,2,2,2,2,2,3,0.0,0.0,0,16,6,4
48,Male,Loyal Customer,45,Business travel,Business,8.129764445794171,5,3,4,5,5,5,5,5,5,5,3,0.0,1.3862943611198906,1,12,25,25
49,Female,Loyal Customer,24,Personal Travel,Eco,7.865955413933502,4,3,4,3,3,3,4,3,3,4,3,2.3978952727983707,2.1972245773362196,0,12,9,12
50,Male,Loyal Customer,47,Business travel,Eco,7.568379267836522,1,1,1,1,1,2,1,2,3,2,1,2.0794415416798357,1.6094379124341003,0,1,1,2
51,Male,Loyal Customer,27,Personal Travel,Eco Plus,7.938445551164788,4,5,4,5,5,2,1,4,4,3,5,0.0,0.0,0,20,25,2
52,Female,disloyal Customer,36,Business travel,Eco,7.186901020411631,3,4,3,4,4,3,3,5,1,3,4,3.713572066704308,3.4339872044851463,0,12,16,9
53,Female,Loyal Customer,61,Personal Travel,Eco,6.559615237493242,1,5,5,5,4,4,4,4,5,4,5,3.367295829986474,3.1780538303479458,1,25,20,16
54,Male,Loyal Customer,21,Business travel,Business,7.851271997109883,1,5,5,5,5,5,4,4,5,5,5,1.3862943611198906,0.0,1,25,25,20
55,Female,Loyal Customer,15,Personal Travel,Eco Plus,7.61972421378267,4,4,4,4,4,3,1,3,4,3,4,0.0,0.0,0,16,16,3
56,Female,Loyal Customer,57,Personal Travel,Eco,6.335054251498059,4,5,4,5,5,4,2,5,4,4,5,0.0,0.0,1,20,25,8
57,Female,disloyal Customer,44,Business travel,Business,7.826044013518965,3,2,3,1,2,3,3,5,3,5,2,3.295836866004329,3.713572066704308,0,6,2,9
58,Female,disloyal Customer,22,Business travel,Eco,7.51479976048867,1,5,1,5,5,3,5,5,4,4,5,0.0,2.833213344056216,0,5,25,15
59,Male,Loyal Customer,39,Business travel,Business,4.605170185988092,3,3,3,3,2,2,2,3,3,2,1,2.70805020110221,1.791759469228055,0,9,6,4
60,Female,Loyal Customer,59,Business travel,Eco,6.760414691083428,3,1,3,3,3,3,3,3,2,3,2,0.0,0.0,0,3,9,9
61,Male,disloyal Customer,36,Business travel,Eco,7.3901814282264295,2,2,2,2,2,1,1,3,3,2,2,0.0,0.6931471805599453,0,4,4,1
62,Male,disloyal Customer,37,Business travel,Business,7.335633981927201,1,3,1,3,3,3,3,4,4,4,3,1.6094379124341003,0.0,0,3,9,9
63,Female,Loyal Customer,31,Business travel,Business,7.226209010100671,1,4,4,1,4,1,1,3,4,3,4,4.406719247264253,4.276666119016055,0,16,4,1
64,Male,Loyal Customer,46,Business travel,Business,7.988203597022576,3,4,4,5,3,3,4,3,3,3,4,0.0,0.0,1,16,15,12
65,Male,Loyal Customer,25,Personal Travel,Eco,7.588829878307813,3,1,3,1,1,1,3,3,1,4,1,0.0,0.0,0,3,1,3
66,Female,disloyal Customer,25,Business travel,Eco,7.8399193600125825,4,4,4,5,4,1,3,3,2,3,4,0.0,0.0,0,16,20,3
67,Female,disloyal Customer,38,Business travel,Business,7.526717561352706,1,4,1,4,4,5,2,4,4,4,4,4.3694478524670215,4.31748811353631,0,4,16,10
68,Female,Loyal Customer,43,Business travel,Business,7.531552381407289,1,5,5,5,5,5,5,5,5,5,3,0.0,0.0,1,25,25,25
69,Female,Loyal Customer,49,Business travel,Business,7.671826797878781,4,2,5,4,4,4,4,4,5,4,4,0.0,0.0,1,10,16,16
70,Male,Loyal Customer,7,Business travel,Business,8.039157390473237,3,3,3,3,3,2,3,3,4,3,3,3.784189633918261,3.4011973816621555,0,9,9,6
71,Male,Loyal Customer,69,Personal Travel,Eco,7.751045117971802,1,5,1,3,5,5,5,4,3,5,5,3.044522437723423,2.9444389791664403,0,5,15,25
72,Male,Loyal Customer,49,Business travel,Eco,7.104144092987527,4,4,4,4,4,1,3,3,3,4,4,0.0,0.0,1,16,16,3
73,Female,Loyal Customer,55,Business travel,Business,8.047829357457841,2,5,3,3,2,2,2,2,4,2,4,2.772588722239781,2.1972245773362196,0,15,6,4
74,Male,disloyal Customer,26,Business travel,Eco,7.487173694213739,4,5,4,5,5,2,2,3,4,3,5,0.0,0.0,1,20,25,4
75,Male,Loyal Customer,18,Personal Travel,Eco,7.791522819150732,2,3,2,3,3,3,3,5,4,4,3,1.0986122886681098,0.0,0,6,9,9
76,Female,disloyal Customer,38,Business travel,Business,7.799753318287247,5,4,5,4,4,5,3,5,4,4,4,1.6094379124341003,0.0,1,20,16,15
77,Female,Loyal Customer,24,Business travel,Business,8.618485442898109,0,2,2,4,2,3,2,4,4,3,2,3.970291913552122,3.784189633918261,1,4,8,6
78,Male,Loyal Customer,25,Personal Travel,Eco Plus,7.656337166430183,3,5,3,5,5,2,5,3,2,2,5,3.091042453358316,2.4849066497880004,0,15,25,10
79,Female,Loyal Customer,66,Personal Travel,Business,5.877735781779639,2,3,5,4,4,4,4,4,3,4,5,0.0,0.0,1,15,16,16
80,Male,Loyal Customer,50,Business travel,Business,8.083328608786376,2,4,4,4,3,3,3,3,3,3,4,0.0,0.0,1,16,12,9
81,Male,Loyal Customer,52,Business travel,Business,8.066835314417336,2,4,2,3,2,2,2,2,3,2,1,0.0,0.0,0,8,6,4
82,Female,Loyal Customer,42,Business travel,Eco,6.459904454377535,2,3,2,1,2,2,2,2,2,2,3,0.0,0.0,0,6,2,4
83,Male,Loyal Customer,38,Personal Travel,Business,6.091309882077698,3,2,5,4,5,5,2,4,4,5,4,0.6931471805599453,2.6390573296152584,0,10,20,10
84,Female,Loyal Customer,46,Business travel,Business,7.421177528595393,2,4,4,5,5,5,5,5,3,5,4,0.0,0.0,1,16,25,25
85,Male,Loyal Customer,44,Business travel,Eco,7.37650812632622,5,4,5,4,4,2,3,5,5,1,4,0.0,0.0,1,20,16,6
86,Male,disloyal Customer,45,Business travel,Eco,7.551186867296149,4,2,3,2,2,4,4,2,3,2,2,2.70805020110221,0.0,0,6,4,16
87,Female,disloyal Customer,36,Business travel,Eco,7.334981878871814,2,3,2,4,3,1,4,2,5,4,3,0.6931471805599453,0.0,0,6,12,4
88,Female,disloyal Customer,30,Business travel,Business,7.799753318287247,2,3,2,3,3,3,2,5,5,4,3,0.0,0.0,0,6,9,6
89,Male,disloyal Customer,26,Business travel,Business,7.8160138391590275,1,4,1,4,4,5,5,4,3,5,4,0.0,0.0,0,4,16,25
90,Female,Loyal Customer,32,Business travel,Business,8.38662882139512,2,2,2,2,2,2,2,4,1,3,2,0.0,0.0,0,4,4,4
91,Male,disloyal Customer,20,Business travel,Business,7.609862200913554,5,3,5,3,3,3,3,4,4,4,3,0.0,0.0,1,15,9,9
92,Female,Loyal Customer,55,Business travel,Eco,7.02108396428914,4,1,3,4,4,4,4,4,5,4,4,1.0986122886681098,0.6931471805599453,1,3,16,16
93,Male,Loyal Customer,41,Business travel,Business,8.089175678837561,3,3,4,5,5,5,5,5,4,5,5,2.5649493574615367,1.791759469228055,1,12,25,25
94,Female,disloyal Customer,15,Business travel,Eco,7.3031700512368,4,2,4,2,2,5,5,5,4,3,2,0.0,0.0,1,8,4,25
95,Male,Loyal Customer,35,Business travel,Business,7.478734825567875,3,3,3,5,4,4,4,4,5,4,2,0.0,0.0,1,9,20,16
96,Female,disloyal Customer,26,Business travel,Business,7.552237287560802,5,2,5,2,2,4,5,4,5,4,2,2.6390573296152584,3.1354942159291497,1,10,4,20
97,Female,disloyal Customer,35,Business travel,Business,7.404279118037268,3,2,3,2,2,5,2,5,4,5,2,0.0,0.0,0,6,4,10
98,Male,Loyal Customer,55,Business travel,Eco,7.474204806496124,4,4,4,4,4,4,1,3,4,4,4,0.0,1.3862943611198906,0,16,16,4
99,Male,disloyal Customer,24,Business travel,Eco,7.403061091090091,3,2,3,2,2,2,4,4,2,4,2,4.02535169073515,3.9512437185814275,0,6,4,8
100,Female,disloyal Customer,20,Business travel,Eco,8.00736706798333,3,1,4,1,1,2,4,1,2,4,1,0.0,0.0,0,4,1,8
101,Female,Loyal Customer,58,Business travel,Business,6.956545443151569,2,4,4,5,5,5,5,5,5,5,3,4.68213122712422,4.634728988229636,1,16,25,25
102,Female,Loyal Customer,20,Personal Travel,Eco Plus,7.610357618312838,4,4,4,1,5,5,5,5,4,5,2,3.7612001156935624,3.2188758248682006,1,16,5,25
103,Male,Loyal Customer,31,Personal Travel,Eco,7.3031700512368,4,5,4,5,5,4,3,4,5,4,5,0.0,0.0,1,20,25,12
104,Male,Loyal Customer,44,Business travel,Eco,7.868254265520613,5,5,5,5,5,5,5,5,3,3,5,2.302585092994046,0.0,1,25,25,25
105,Male,Loyal Customer,33,Business travel,Business,7.772752716468742,4,3,3,3,3,4,5,4,4,5,3,0.0,0.0,1,9,9,20
106,Female,Loyal Customer,32,Business travel,Business,8.593598522618644,5,3,4,4,3,4,3,5,3,5,3,0.6931471805599453,0.0,1,12,12,12
107,Female,Loyal Customer,61,Business travel,Eco Plus,5.869296913133774,2,3,2,2,2,2,2,2,3,2,2,2.3978952727983707,2.5649493574615367,0,6,4,4
108,Male,Loyal Customer,31,Personal Travel,Eco,7.99260665240021,2,1,2,1,1,2,2,4,4,3,1,1.0986122886681098,0.0,0,2,1,4
109,Male,Loyal Customer,43,Personal Travel,Eco,7.716015266642587,2,5,2,4,5,3,5,4,3,4,5,2.0794415416798357,2.0794415416798357,0,10,20,15
110,Female,Loyal Customer,64,Personal Travel,Eco,5.799092654460526,5,5,5,5,5,1,2,4,4,2,5,0.0,0.0,1,25,25,2
111,Female,Loyal Customer,35,Personal Travel,Eco,7.628031126930335,1,5,5,5,5,5,5,5,5,5,5,0.0,0.0,1,25,25,25
112,Male,Loyal Customer,56,Business travel,Eco,7.502186486602924,4,4,4,4,4,2,2,5,2,3,4,1.0986122886681098,1.9459101490553132,1,16,16,4
113,Male,Loyal Customer,55,Business travel,Eco,7.783640596221253,5,5,5,5,5,2,2,5,5,4,5,1.6094379124341003,3.367295829986474,1,25,25,4
114,Female,Loyal Customer,56,Business travel,Eco Plus,6.478509642208569,3,4,4,3,3,3,3,3,1,3,4,3.367295829986474,2.772588722239781,0,16,9,9
115,Female,Loyal Customer,62,Personal Travel,Eco,7.142827401161621,4,5,4,5,4,4,4,4,4,4,5,0.0,0.0,1,20,20,16
116,Female,disloyal Customer,23,Business travel,Eco,7.75833346749091,3,2,3,4,2,4,2,5,4,4,2,0.0,0.0,0,6,8,8
117,Female,disloyal Customer,36,Business travel,Business,7.215975002651466,2,3,1,3,3,5,3,5,5,5,3,0.0,0.0,0,3,9,15
118,Male,Loyal Customer,39,Business travel,Business,6.054439346269371,2,1,3,3,2,2,2,2,1,2,1,1.3862943611198906,0.0,0,3,6,4
119,Female,disloyal Customer,30,Business travel,Eco,7.537430036586509,3,3,3,4,3,3,5,3,4,4,3,0.0,2.3978952727983707,0,9,12,15
120,Male,Loyal Customer,56,Business travel,Business,7.5822291942764615,1,5,5,4,4,4,4,4,4,4,5,2.9444389791664403,0.0,1,25,16,16
121,Female,Loyal Customer,21,Personal Travel,Eco,7.460490305825338,1,2,5,5,4,4,4,4,3,4,3,0.0,2.5649493574615367,1,10,20,16
122,Male,Loyal Customer,39,Business travel,Business,5.455321115357702,1,1,3,3,4,4,4,1,3,4,2,0.0,0.0,0,3,12,16
123,Female,disloyal Customer,25,Business travel,Business,7.798523053625206,3,1,3,1,1,5,5,4,5,5,1,0.0,0.0,0,3,1,25
124,Female,Loyal Customer,45,Business travel,Business,6.568077911411976,1,5,5,5,4,4,4,4,3,4,4,0.0,0.0,1,25,20,16
125,Female,Loyal Customer,43,Business travel,Business,8.280964400553373,1,4,4,4,5,5,5,5,5,5,5,0.0,0.0,1,16,20,25
126,Male,Loyal Customer,39,Business travel,Business,7.424761761823209,2,3,5,4,5,5,5,5,5,5,5,0.0,1.3862943611198906,1,15,20,25
127,Female,Loyal Customer,31,Business travel,Eco,7.80057265467065,3,3,3,3,3,1,4,4,2,3,3,0.0,1.3862943611198906,0,9,9,4
128,Male,Loyal Customer,51,Business travel,Eco,7.73718007783463,4,4,4,4,4,3,4,3,4,5,4,2.9444389791664403,2.3978952727983707,1,16,16,12
129,Female,disloyal Customer,23,Business travel,Eco,7.61972421378267,2,3,2,3,3,5,2,5,3,5,3,3.871201010907891,3.9318256327243257,0,6,9,10
130,Female,Loyal Customer,36,Personal Travel,Eco,7.73718007783463,3,1,4,4,1,2,5,1,4,1,1,0.0,0.0,0,4,4,10
131,Female,Loyal Customer,46,Business travel,Business,5.8888779583328805,3,3,3,3,3,3,3,3,3,3,4,0.0,0.0,0,9,9,9
132,Female,Loyal Customer,44,Business travel,Business,7.852050207265889,3,2,3,5,5,5,5,5,5,5,3,2.5649493574615367,0.0,1,6,25,25
133,Female,Loyal Customer,38,Business travel,Business,6.683360945766275,2,4,4,3,2,2,2,2,2,2,4,3.9512437185814275,3.9889840465642745,0,16,6,4
134,Female,Loyal Customer,68,Personal Travel,Eco,7.001245622069476,1,4,4,4,4,4,4,4,3,4,3,0.0,0.0,1,16,16,16
135,Female,Loyal Customer,54,Business travel,Business,8.025516386489008,1,4,4,4,2,2,2,2,3,2,4,0.0,0.0,1,16,8,4
136,Male,Loyal Customer,53,Personal Travel,Eco,7.822044008185619,3,4,3,4,4,1,2,4,4,3,4,0.0,0.0,0,12,16,2
137,Male,Loyal Customer,34,Personal Travel,Business,6.821107472256465,1,4,5,4,3,3,1,3,4,3,5,3.1354942159291497,0.0,0,20,12,3
138,Female,Loyal Customer,29,Business travel,Business,8.510369966068112,3,4,4,4,4,3,5,5,5,5,4,2.8903717578961645,1.791759469228055,1,16,16,15
139,Male,disloyal Customer,38,Business travel,Eco,7.7488913372555315,2,4,2,4,4,4,5,4,1,4,4,2.833213344056216,1.791759469228055,0,8,16,20
140,Male,Loyal Customer,65,Personal Travel,Eco,7.426549072397305,1,3,1,1,3,4,5,4,4,5,3,0.0,0.0,0,3,3,20
141,Female,disloyal Customer,28,Business travel,Eco,7.647308832356238,1,2,2,1,2,3,3,1,1,1,2,1.0986122886681098,2.1972245773362196,0,4,2,9
142,Male,disloyal Customer,23,Business travel,Business,8.092239406724211,4,5,4,4,5,3,4,5,4,5,4,4.919980925828125,4.762173934797756,1,20,20,12
143,Female,Loyal Customer,45,Business travel,Eco,6.626717749249025,4,1,1,2,4,4,4,4,1,4,5,0.0,0.0,1,1,8,16
144,Female,Loyal Customer,46,Personal Travel,Eco,6.455198563340122,3,3,4,4,5,5,5,5,3,5,3,4.07753744390572,3.784189633918261,1,12,20,25
145,Male,Loyal Customer,60,Business travel,Business,7.708859601047175,3,4,4,4,4,4,4,4,3,4,5,0.6931471805599453,0.0,1,16,16,16
146,Male,Loyal Customer,57,Business travel,Business,8.052296499538647,2,2,2,2,2,4,3,2,2,3,2,5.0689042022202315,5.075173815233827,0,4,4,12
147,Female,Loyal Customer,47,Personal Travel,Eco,7.940939762327791,3,2,4,3,4,4,4,4,4,4,5,0.0,0.0,1,8,12,16
148,Male,disloyal Customer,22,Business travel,Eco,7.8083230503910555,4,1,4,1,1,1,5,4,4,3,1,0.0,0.0,0,4,1,5
149,Female,Loyal Customer,39,Business travel,Business,8.157370441186774,1,2,4,3,1,1,2,1,3,1,2,0.0,0.0,0,8,3,2
150,Male,Loyal Customer,18,Personal Travel,Eco,7.523481312573497,3,4,3,4,4,5,5,5,5,3,4,0.0,0.0,0,12,16,25
151,Male,Loyal Customer,12,Business travel,Business,7.7651449029361315,3,3,3,3,3,3,5,4,3,4,3,4.0943445622221,3.9512437185814275,0,9,9,15
152,Female,disloyal Customer,80,Business travel,Business,6.795705775173514,1,3,4,4,3,3,1,5,4,3,2,2.995732273553991,0.0,0,12,12,3
153,Female,Loyal Customer,59,Business travel,Eco,5.91350300563827,3,2,4,4,3,3,3,3,1,3,4,2.302585092994046,3.258096538021482,0,8,12,9
154,Female,Loyal Customer,27,Personal Travel,Eco Plus,7.57095858316901,4,5,4,4,5,1,4,2,4,5,5,0.0,1.791759469228055,0,20,20,4
155,Male,Loyal Customer,40,Business travel,Business,6.028278520230698,1,1,5,2,5,5,5,5,2,5,3,0.0,0.0,1,5,10,25
156,Female,Loyal Customer,17,Business travel,Eco Plus,8.157657015196472,5,5,5,5,4,3,2,1,5,2,5,0.0,0.0,1,25,20,6
157,Male,Loyal Customer,45,Business travel,Business,6.871091294610546,4,3,5,5,4,4,4,4,3,4,3,3.8918202981106265,4.110873864173311,1,15,20,16
158,Female,Loyal Customer,43,Business travel,Business,6.466144724237619,5,2,4,5,5,5,5,5,1,5,3,4.204692619390966,3.784189633918261,1,8,25,25
159,Female,disloyal Customer,38,Business travel,Eco,7.200424892944957,3,4,3,4,4,3,3,3,4,3,4,0.0,0.0,0,12,16,9
160,Male,Loyal Customer,45,Business travel,Business,4.110873864173311,3,3,4,4,4,4,4,5,4,4,3,4.31748811353631,4.219507705176107,1,12,16,16
161,Male,Loyal Customer,52,Business travel,Business,7.604396348796338,5,3,5,4,4,4,4,4,5,4,3,0.6931471805599453,0.0,1,15,16,16
162,Male,Loyal Customer,59,Business travel,Business,6.408528791059498,3,1,4,3,5,5,5,5,5,5,1,0.0,1.3862943611198906,1,4,15,25
163,Female,Loyal Customer,35,Business travel,Business,7.891704659330107,2,5,2,3,2,2,2,2,2,2,4,3.828641396489095,3.58351893845611,0,10,6,4
164,Female,Loyal Customer,68,Personal Travel,Eco,6.906754778648554,1,5,5,4,2,2,3,2,5,2,5,3.5553480614894135,3.6109179126442243,1,25,8,6
165,Female,Loyal Customer,58,Personal Travel,Eco,6.46302945692067,1,4,4,5,4,4,4,4,4,4,4,0.0,0.0,1,16,20,16
166,Female,Loyal Customer,39,Business travel,Business,6.568077911411976,1,5,5,5,4,4,5,4,5,4,4,0.0,0.0,1,25,20,20
167,Female,Loyal Customer,40,Business travel,Business,6.236369590203704,1,2,4,3,1,1,2,1,1,1,1,0.0,0.0,0,8,3,2
168,Female,disloyal Customer,30,Business travel,Eco,7.943427767876373,3,3,2,3,3,5,5,5,4,5,3,0.0,0.0,0,6,9,25
169,Male,Loyal Customer,43,Personal Travel,Eco,7.466799475018602,1,4,1,4,4,4,4,4,4,4,4,1.0986122886681098,0.0,0,4,16,16
170,Male,Loyal Customer,46,Personal Travel,Eco,7.618251097876695,2,1,2,4,1,4,5,4,1,3,1,1.791759469228055,0.6931471805599453,0,2,4,20
171,Female,disloyal Customer,46,Business travel,Eco,7.624130585661289,3,1,3,1,1,4,4,3,4,3,1,0.0,2.1972245773362196,0,3,1,16
172,Male,Loyal Customer,44,Business travel,Eco,8.303999970955196,5,5,5,5,1,5,4,2,5,2,5,0.0,0.0,1,25,5,20
173,Female,Loyal Customer,34,Business travel,Eco,7.313886831633462,4,4,4,4,4,3,2,4,2,3,4,0.0,0.0,0,16,16,6
174,Female,Loyal Customer,44,Business travel,Business,7.222566018822171,5,3,3,1,5,5,5,5,2,5,2,0.0,0.0,1,9,5,25
175,Male,Loyal Customer,45,Personal Travel,Eco,7.656810091480378,1,3,1,3,3,4,4,5,3,4,3,0.0,0.0,0,3,9,16
176,Female,Loyal Customer,23,Personal Travel,Business,8.11102783819368,4,3,3,1,5,5,4,5,1,5,5,0.0,1.6094379124341003,1,9,5,20
177,Male,disloyal Customer,23,Business travel,Eco,7.745435610274381,5,5,5,5,5,3,2,4,3,5,5,0.6931471805599453,0.0,1,25,25,6
178,Male,Loyal Customer,13,Business travel,Business,7.944846711001996,1,4,4,4,4,4,5,5,4,4,4,3.1354942159291497,4.204692619390966,1,16,16,20
179,Male,disloyal Customer,23,Business travel,Eco,7.705262474866325,2,2,1,2,2,5,5,4,1,2,2,2.1972245773362196,0.0,0,2,4,25
180,Female,Loyal Customer,32,Business travel,Eco,8.068716192714781,0,3,0,2,3,1,1,4,2,2,3,0.0,0.0,1,0,6,1
181,Female,disloyal Customer,16,Business travel,Eco,7.039660349862076,3,3,3,3,3,3,5,3,3,4,3,0.0,0.0,0,9,9,15
182,Female,disloyal Customer,24,Business travel,Business,7.3901814282264295,5,3,5,3,3,3,5,4,4,5,3,0.0,0.0,1,15,9,15
183,Female,Loyal Customer,47,Business travel,Eco,6.214608098422191,5,5,1,1,5,5,5,5,1,5,4,0.0,1.3862943611198906,1,5,5,25
184,Male,Loyal Customer,39,Business travel,Business,7.317876198626496,4,5,4,5,4,4,4,4,3,4,4,3.1354942159291497,3.6109179126442243,1,20,20,16
